Date,Study,Study Link,Journal,Sample Size,Objective,Causes,Detection
2023-04-27,Young-onset colorectal cancer.,https://pubmed.ncbi.nlm.nih.gov/37105987,Nature reviews. Disease primers,no data,"To better understand the underlying mechanism and define relationships between environmental factors and YO-CRC development, long-term prospective studies are needed with lifestyle data collected from childhood.","hereditary cancer syndrome, antibiotic use, low physical activity, obesity, environmental factors",no data
2020-04-06,Trends in the epidemiology of young-onset colorectal cancer: a worldwide systematic review.,https://pubmed.ncbi.nlm.nih.gov/32252672,BMC cancer,no data,Assess trends in young-onset colorectal cancer (yCRC) incidence and pooled overall APCi.,"- Increasing prevalence and incidence trends of young-onset colorectal cancer (yCRC) in adults under 50 years, with annual percentage changes (APCp +2.6, APCi up to +4.03)  
- Increased risk of rectal cancer in adults less than 50 years (9/14 studies) with significant annual percentage change in incidence (p < 0.001)",no data
2019-02-28,Early-onset colorectal cancer in young individuals.,https://pubmed.ncbi.nlm.nih.gov/30520562,Molecular oncology,no data,Provide considerations for future perspectives.,"hereditary cancer predisposing syndromes, familial CRC",no data
2018-03-28,Colorectal Cancer in the Young.,https://pubmed.ncbi.nlm.nih.gov/29616330,Current gastroenterology reports,no data,The Study Objective is to determine whether current screening approaches should be modified and whether causation and treatment options may differ in a molecular subset of EOCRCs.,no data,no data
2017-05-15,The Growing Challenge of Young Adults With Colorectal Cancer.,https://pubmed.ncbi.nlm.nih.gov/28516436,"Oncology (Williston Park, N.Y.)",no data,"address specific issues pertaining to AYA patients with colorectal cancer, including evaluation for hereditary colorectal cancer syndromes, clinicopathologic and biologic features unique to AYA patients with colorectal cancer, treatment outcomes, and survivorship.",no data,evaluation for hereditary colorectal cancer syndromes
2017-02-28,Colorectal cancer is a leading cause of cancer incidence and mortality among adults younger than 50 years in the USA: a SEER-based analysis with comparison to other young-onset cancers.,https://pubmed.ncbi.nlm.nih.gov/27864324,Journal of investigative medicine : the official publication of the American Federation for Clinical Research,no data,"summarize extracted data, both overall, and stratified by sex.","breast cancer, lung cancer",no data
2016-04-07,Different risk factors for advanced colorectal neoplasm in young adults.,https://pubmed.ncbi.nlm.nih.gov/27053853,World journal of gastroenterology,70428,To evaluate and compare odds ratios (OR) for ACRN between young-adults (YA < 50 years) and older-adults (OA ≥ 50 years).,"age, male sex, current smoking, family history of colorectal cancer, diabetes mellitus related factors, obesity, CEA, low-density lipoprotein-cholesterol",colonoscopy
2015-11-01,High Prevalence of Hereditary Cancer Syndromes in Adolescents and Young Adults With Colorectal Cancer.,https://pubmed.ncbi.nlm.nih.gov/26195711,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,no data,The Study Objective is to determine whether patients diagnosed with colorectal cancer at age 35 years or younger should receive genetic counseling regardless of their family history and phenotype.,hereditary cancer syndromes,genetic counseling
2015-03-30,Colorectal cancer in young adults.,https://pubmed.ncbi.nlm.nih.gov/25480403,Digestive diseases and sciences,no data,Further studies are needed regarding this topic.,"behavioral and environmental causes, inherited CRC syndromes",no data
2004-03-30,Colorectal cancer in the young.,https://pubmed.ncbi.nlm.nih.gov/15006562,American journal of surgery,55,Characterize CRC in the young population and determine how CRC in this population should be further addressed regarding detection and treatment.,no data,no data
